Date,Symbol,Order,Shares
2006-01-17,IBM,BUY,100
2006-01-18,IBM,SELL,100
2006-01-20,IBM,BUY,100
2006-01-23,IBM,SELL,100
2006-01-30,IBM,BUY,100
2006-01-31,IBM,SELL,100
2006-02-01,IBM,BUY,100
2006-02-03,IBM,BUY,100
2006-02-06,IBM,SELL,100
2006-02-07,IBM,BUY,100
2006-02-08,IBM,SELL,100
2006-02-16,IBM,BUY,100
2006-02-21,IBM,SELL,100
2006-02-24,IBM,BUY,100
2006-03-07,IBM,SELL,100
2006-03-08,IBM,SELL,100
2006-03-27,IBM,BUY,100
2006-03-28,IBM,BUY,100
2006-04-04,IBM,SELL,100
2006-04-05,IBM,SELL,100
2006-04-07,IBM,BUY,100
2006-04-10,IBM,BUY,100
2006-04-12,IBM,SELL,100
2006-04-13,IBM,BUY,100
2006-04-18,IBM,SELL,100
2006-04-20,IBM,SELL,100
2006-04-24,IBM,BUY,100
2006-04-26,IBM,SELL,100
2006-04-28,IBM,BUY,100
2006-05-01,IBM,BUY,100
2006-05-03,IBM,SELL,100
2006-05-10,IBM,BUY,100
2006-05-11,IBM,SELL,100
2006-05-12,IBM,BUY,100
2006-05-15,IBM,SELL,100
2006-05-17,IBM,BUY,100
2006-05-19,IBM,SELL,100
2006-05-26,IBM,BUY,100
2006-05-30,IBM,SELL,100
2006-06-01,IBM,BUY,100
2006-06-05,IBM,BUY,100
2006-06-08,IBM,SELL,100
2006-06-15,IBM,BUY,100
2006-06-19,IBM,BUY,100
2006-06-20,IBM,SELL,100
2006-06-23,IBM,BUY,100
2006-06-29,IBM,SELL,100
2006-07-05,IBM,BUY,100
2006-07-06,IBM,SELL,100
2006-07-07,IBM,BUY,100
2006-07-10,IBM,BUY,100
2006-07-13,IBM,SELL,100
2006-07-19,IBM,BUY,100
2006-07-20,IBM,SELL,100
2006-07-21,IBM,BUY,100
2006-07-28,IBM,SELL,100
2006-08-04,IBM,BUY,100
2006-08-07,IBM,BUY,100
2006-08-14,IBM,SELL,100
2006-08-15,IBM,SELL,100
2006-09-06,IBM,BUY,100
2006-09-07,IBM,BUY,100
2006-09-08,IBM,SELL,100
2006-09-12,IBM,SELL,100
2006-09-21,IBM,BUY,100
2006-09-22,IBM,BUY,100
2006-09-26,IBM,SELL,100
2006-09-28,IBM,BUY,100
2006-10-04,IBM,SELL,100
2006-10-05,IBM,SELL,100
2006-11-03,IBM,BUY,100
2006-11-07,IBM,SELL,100
2006-11-10,IBM,BUY,100
2006-11-14,IBM,SELL,100
2006-11-27,IBM,BUY,100
2006-11-28,IBM,BUY,100
2006-12-01,IBM,SELL,100
2006-12-04,IBM,BUY,100
2006-12-05,IBM,SELL,100
2007-01-19,IBM,BUY,100
2007-01-22,IBM,BUY,100
2007-01-24,IBM,SELL,100
2007-01-25,IBM,BUY,100
2007-01-29,IBM,SELL,100
2007-01-31,IBM,BUY,100
2007-02-02,IBM,SELL,100
2007-02-09,IBM,BUY,100
2007-02-12,IBM,BUY,100
2007-02-14,IBM,SELL,100
2007-02-16,IBM,BUY,100
2007-02-20,IBM,SELL,100
2007-02-21,IBM,BUY,100
2007-02-22,IBM,SELL,100
2007-02-23,IBM,BUY,100
2007-02-27,IBM,SELL,100
2007-03-12,IBM,BUY,100
2007-03-20,IBM,SELL,100
2007-03-28,IBM,BUY,100
2007-03-29,IBM,BUY,100
2007-04-02,IBM,SELL,100
2007-04-03,IBM,SELL,100
2007-04-11,IBM,BUY,100
2007-04-12,IBM,BUY,100
2007-04-16,IBM,SELL,100
2007-04-17,IBM,SELL,100
2007-04-18,IBM,BUY,100
2007-04-19,IBM,BUY,100
2007-04-20,IBM,SELL,100
2007-04-23,IBM,BUY,100
2007-04-24,IBM,SELL,100
2007-04-25,IBM,SELL,100
2007-05-23,IBM,BUY,100
2007-05-24,IBM,BUY,100
2007-05-29,IBM,SELL,100
2007-06-04,IBM,BUY,100
2007-06-05,IBM,SELL,100
2007-06-06,IBM,SELL,100
2007-06-08,IBM,BUY,100
2007-06-12,IBM,SELL,100
2007-06-14,IBM,BUY,100
2007-06-19,IBM,SELL,100
2007-06-22,IBM,BUY,100
2007-07-02,IBM,BUY,100
2007-07-03,IBM,SELL,100
2007-07-05,IBM,SELL,100
2007-07-30,IBM,BUY,100
2007-07-31,IBM,BUY,100
2007-08-02,IBM,SELL,100
2007-08-10,IBM,BUY,100
2007-08-15,IBM,BUY,100
2007-08-16,IBM,SELL,100
2007-08-17,IBM,BUY,100
2007-08-20,IBM,SELL,100
2007-08-23,IBM,BUY,100
2007-08-24,IBM,SELL,100
2007-08-28,IBM,BUY,100
2007-08-29,IBM,SELL,100
2007-09-12,IBM,BUY,100
2007-09-13,IBM,BUY,100
2007-09-18,IBM,SELL,100
2007-09-19,IBM,BUY,100
2007-10-01,IBM,SELL,100
2007-10-03,IBM,BUY,100
2007-10-04,IBM,BUY,100
2007-10-08,IBM,SELL,100
2007-10-15,IBM,BUY,100
2007-10-16,IBM,SELL,100
2007-10-17,IBM,BUY,100
2007-10-18,IBM,BUY,100
2007-10-19,IBM,SELL,100
2007-10-29,IBM,BUY,100
2007-10-30,IBM,SELL,100
2007-11-01,IBM,BUY,100
2007-11-06,IBM,BUY,100
2007-11-08,IBM,SELL,100
2007-11-23,IBM,BUY,100
2007-11-28,IBM,SELL,100
2007-12-11,IBM,BUY,100
2007-12-17,IBM,BUY,100
2007-12-20,IBM,SELL,100
2007-12-21,IBM,SELL,100
2007-12-31,IBM,BUY,100
2008-01-02,IBM,BUY,100
2008-01-04,IBM,SELL,100
2008-01-14,IBM,BUY,100
2008-01-15,IBM,SELL,100
2008-02-05,IBM,BUY,100
2008-02-06,IBM,BUY,100
2008-02-07,IBM,SELL,100
2008-02-08,IBM,BUY,100
2008-02-12,IBM,SELL,100
2008-02-15,IBM,SELL,100
2008-02-19,IBM,BUY,100
2008-02-25,IBM,SELL,100
2008-03-06,IBM,BUY,100
2008-03-07,IBM,BUY,100
2008-03-11,IBM,SELL,100
2008-03-12,IBM,SELL,100
2008-03-26,IBM,BUY,100
2008-03-27,IBM,BUY,100
2008-04-02,IBM,SELL,100
2008-04-03,IBM,BUY,100
2008-04-04,IBM,SELL,100
2008-04-07,IBM,BUY,100
2008-04-08,IBM,BUY,100
