Date,Symbol,Order,Shares,Type
2006-01-19,IBM,BUY,500,LONG
2006-02-02,IBM,SELL,500,EXIT
2006-02-02,IBM,BUY,500,LONG
2006-02-16,IBM,SELL,500,EXIT
2006-02-16,IBM,BUY,500,LONG
2006-03-03,IBM,SELL,500,EXIT
2006-03-03,IBM,BUY,500,LONG
2006-03-17,IBM,SELL,500,EXIT
2006-03-17,IBM,BUY,500,LONG
2006-03-31,IBM,SELL,500,EXIT
2006-03-31,IBM,BUY,500,LONG
2006-04-17,IBM,SELL,500,EXIT
2006-04-17,IBM,BUY,500,LONG
2006-05-01,IBM,SELL,500,EXIT
2006-05-01,IBM,BUY,500,LONG
2006-05-15,IBM,SELL,500,EXIT
2006-05-15,IBM,BUY,500,LONG
2006-05-30,IBM,SELL,500,EXIT
2006-05-30,IBM,BUY,500,LONG
2006-06-13,IBM,SELL,500,EXIT
2006-06-13,IBM,BUY,500,LONG
2006-06-27,IBM,SELL,500,EXIT
2006-06-27,IBM,BUY,500,LONG
2006-07-12,IBM,SELL,500,EXIT
2006-07-12,IBM,BUY,500,LONG
2006-07-26,IBM,SELL,500,EXIT
2006-07-26,IBM,BUY,500,LONG
2006-08-09,IBM,SELL,500,EXIT
2006-08-09,IBM,BUY,500,LONG
2006-08-23,IBM,SELL,500,EXIT
2006-08-23,IBM,BUY,500,LONG
2006-09-07,IBM,SELL,500,EXIT
2006-09-07,IBM,BUY,500,LONG
2006-09-21,IBM,SELL,500,EXIT
2006-09-21,IBM,BUY,500,LONG
2006-10-05,IBM,SELL,500,EXIT
2006-10-05,IBM,BUY,500,LONG
2006-10-19,IBM,SELL,500,EXIT
2006-10-24,IBM,BUY,500,LONG
2006-11-07,IBM,SELL,500,EXIT
2006-11-07,IBM,BUY,500,LONG
2006-11-21,IBM,SELL,500,EXIT
2006-11-21,IBM,BUY,500,LONG
2006-12-06,IBM,SELL,500,EXIT
2006-12-06,IBM,BUY,500,LONG
2006-12-20,IBM,SELL,500,EXIT
2006-12-20,IBM,BUY,500,LONG
2007-01-08,IBM,SELL,500,EXIT
2007-01-08,IBM,BUY,500,LONG
2007-01-23,IBM,SELL,500,EXIT
2007-01-23,IBM,BUY,500,LONG
2007-02-06,IBM,SELL,500,EXIT
2007-02-06,IBM,BUY,500,LONG
2007-02-21,IBM,SELL,500,EXIT
2007-02-21,IBM,BUY,500,LONG
2007-03-07,IBM,SELL,500,EXIT
2007-03-07,IBM,BUY,500,LONG
2007-03-21,IBM,SELL,500,EXIT
2007-03-21,IBM,BUY,500,LONG
2007-04-04,IBM,SELL,500,EXIT
2007-04-04,IBM,BUY,500,LONG
2007-04-19,IBM,SELL,500,EXIT
2007-04-19,IBM,BUY,500,LONG
2007-05-03,IBM,SELL,500,EXIT
2007-05-03,IBM,BUY,500,LONG
2007-05-17,IBM,SELL,500,EXIT
2007-05-17,IBM,BUY,500,LONG
2007-06-01,IBM,SELL,500,EXIT
2007-06-01,IBM,BUY,500,LONG
2007-06-15,IBM,SELL,500,EXIT
2007-06-15,IBM,BUY,500,LONG
2007-06-29,IBM,SELL,500,EXIT
2007-06-29,IBM,BUY,500,LONG
2007-07-16,IBM,SELL,500,EXIT
2007-07-16,IBM,BUY,500,LONG
2007-07-30,IBM,SELL,500,EXIT
2007-07-30,IBM,BUY,500,LONG
2007-08-13,IBM,SELL,500,EXIT
2007-08-13,IBM,BUY,500,LONG
2007-08-27,IBM,SELL,500,EXIT
2007-08-27,IBM,BUY,500,LONG
2007-09-11,IBM,SELL,500,EXIT
2007-09-11,IBM,BUY,500,LONG
2007-09-25,IBM,SELL,500,EXIT
2007-09-25,IBM,BUY,500,LONG
2007-10-09,IBM,SELL,500,EXIT
2007-10-09,IBM,BUY,500,LONG
2007-10-23,IBM,SELL,500,EXIT
2007-10-23,IBM,BUY,500,LONG
2007-11-06,IBM,SELL,500,EXIT
2007-11-06,IBM,BUY,500,LONG
2007-11-20,IBM,SELL,500,EXIT
2007-11-20,IBM,BUY,500,LONG
2007-12-05,IBM,SELL,500,EXIT
2007-12-05,IBM,BUY,500,LONG
2007-12-19,IBM,SELL,500,EXIT
2007-12-19,IBM,BUY,500,LONG
2008-01-04,IBM,SELL,500,EXIT
2008-01-04,IBM,BUY,500,LONG
2008-01-18,IBM,SELL,500,EXIT
2008-01-18,IBM,BUY,500,LONG
2008-02-04,IBM,SELL,500,EXIT
2008-02-04,IBM,BUY,500,LONG
2008-02-19,IBM,SELL,500,EXIT
2008-02-19,IBM,BUY,500,LONG
2008-03-04,IBM,SELL,500,EXIT
2008-03-04,IBM,BUY,500,LONG
2008-03-18,IBM,SELL,500,EXIT
2008-03-18,IBM,BUY,500,LONG
2008-04-02,IBM,SELL,500,EXIT
2008-04-02,IBM,BUY,500,LONG
2008-04-16,IBM,SELL,500,EXIT
2008-04-16,IBM,BUY,500,LONG
2008-04-30,IBM,SELL,500,EXIT
2008-04-30,IBM,BUY,500,LONG
2008-05-14,IBM,SELL,500,EXIT
2008-05-14,IBM,BUY,500,LONG
2008-05-29,IBM,SELL,500,EXIT
2008-05-29,IBM,BUY,500,LONG
2008-06-12,IBM,SELL,500,EXIT
2008-06-12,IBM,BUY,500,LONG
2008-06-26,IBM,SELL,500,EXIT
2008-06-26,IBM,BUY,500,LONG
2008-07-11,IBM,SELL,500,EXIT
2008-07-11,IBM,BUY,500,LONG
2008-07-25,IBM,SELL,500,EXIT
2008-07-25,IBM,BUY,500,LONG
2008-08-08,IBM,SELL,500,EXIT
2008-08-08,IBM,BUY,500,LONG
2008-08-22,IBM,SELL,500,EXIT
2008-08-22,IBM,BUY,500,LONG
2008-09-08,IBM,SELL,500,EXIT
2008-09-08,IBM,BUY,500,LONG
2008-09-22,IBM,SELL,500,EXIT
2008-09-22,IBM,BUY,500,LONG
2008-10-06,IBM,SELL,500,EXIT
2008-10-06,IBM,BUY,500,LONG
2008-10-20,IBM,SELL,500,EXIT
2008-10-20,IBM,BUY,500,LONG
2008-11-03,IBM,SELL,500,EXIT
2008-11-03,IBM,SELL,500,SHORT
2008-11-17,IBM,BUY,500,EXIT
2008-11-17,IBM,BUY,500,LONG
2008-12-02,IBM,SELL,500,EXIT
2008-12-02,IBM,BUY,500,LONG
2008-12-16,IBM,SELL,500,EXIT
2008-12-16,IBM,SELL,500,SHORT
2008-12-31,IBM,BUY,500,EXIT
2008-12-31,IBM,BUY,500,LONG
2009-01-15,IBM,SELL,500,EXIT
2009-01-15,IBM,BUY,500,LONG
2009-01-30,IBM,SELL,500,EXIT
2009-01-30,IBM,BUY,500,LONG
2009-02-13,IBM,SELL,500,EXIT
2009-02-13,IBM,BUY,500,LONG
2009-03-02,IBM,SELL,500,EXIT
2009-03-02,IBM,BUY,500,LONG
2009-03-16,IBM,SELL,500,EXIT
2009-03-16,IBM,BUY,500,LONG
2009-03-30,IBM,SELL,500,EXIT
2009-03-30,IBM,BUY,500,LONG
2009-04-14,IBM,SELL,500,EXIT
2009-04-14,IBM,BUY,500,LONG
2009-04-28,IBM,SELL,500,EXIT
2009-04-28,IBM,BUY,500,LONG
2009-05-12,IBM,SELL,500,EXIT
2009-05-12,IBM,BUY,500,LONG
2009-05-27,IBM,SELL,500,EXIT
2009-05-27,IBM,BUY,500,LONG
2009-06-10,IBM,SELL,500,EXIT
2009-06-10,IBM,BUY,500,LONG
2009-06-24,IBM,SELL,500,EXIT
2009-06-24,IBM,BUY,500,LONG
2009-07-09,IBM,SELL,500,EXIT
2009-07-09,IBM,BUY,500,LONG
2009-07-23,IBM,SELL,500,EXIT
2009-07-23,IBM,SELL,500,SHORT
2009-08-06,IBM,BUY,500,EXIT
2009-08-06,IBM,BUY,500,LONG
2009-08-20,IBM,SELL,500,EXIT
2009-08-20,IBM,BUY,500,LONG
2009-09-03,IBM,SELL,500,EXIT
2009-09-03,IBM,BUY,500,LONG
2009-09-18,IBM,SELL,500,EXIT
2009-09-18,IBM,BUY,500,LONG
2009-10-02,IBM,SELL,500,EXIT
2009-10-02,IBM,BUY,500,LONG
2009-10-16,IBM,SELL,500,EXIT
2009-10-16,IBM,BUY,500,LONG
2009-10-30,IBM,SELL,500,EXIT
2009-10-30,IBM,BUY,500,LONG
2009-11-13,IBM,SELL,500,EXIT
2009-11-13,IBM,BUY,500,LONG
2009-11-30,IBM,SELL,500,EXIT
2009-11-30,IBM,BUY,500,LONG
2009-12-14,IBM,SELL,500,EXIT
2009-12-14,IBM,BUY,500,LONG
2009-12-29,IBM,SELL,500,EXIT
2009-12-29,IBM,BUY,500,LONG
